Pos1;Pos2;Neg;R1;R2;R3;R4;R5;R6;R7;R8;R9;R10
kind;woman;men;;;;;;;;;;
amiable;woman;men;;;;;;;;;;
gracious;woman;men;;;;;;;;;;
charitable;woman;men;;;;;;;;;;
compassionate;woman;men;;;;;;;;;;
considerate;woman;men;;;;;;;;;;
cordial;woman;men;;;;;;;;;;
friendly;woman;men;;;;;;;;;;
courteus;woman;men;;;;;;;;;;
gentle;woman;men;;;;;;;;;;
humanitarian;woman;men;;;;;;;;;;
altruistic;woman;men;;;;;;;;;;
kindhearted;woman;men;;;;;;;;;;
humane;woman;men;;;;;;;;;;
tolerant;woman;men;;;;;;;;;;
indulgent;woman;men;;;;;;;;;;
loving;woman;men;;;;;;;;;;
inoffensive;woman;men;;;;;;;;;;
calm;woman;men;;;;;;;;;;
humble;woman;men;;;;;;;;;;
safe;woman;men;;;;;;;;;;
pleasant;woman;men;;;;;;;;;;
neutral;woman;men;;;;;;;;;;
childish;woman;men;;;;;;;;;;
childlike;woman;men;;;;;;;;;;
foolish;woman;men;;;;;;;;;;
naive;woman;men;;;;;;;;;;
puerile;woman;men;;;;;;;;;;
young;woman;men;;;;;;;;;;
baby;woman;men;;;;;;;;;;
frivolous;woman;men;;;;;;;;;;
infantile;woman;men;;;;;;;;;;
infantine;woman;men;;;;;;;;;;
adolescent;woman;men;;;;;;;;;;
youthful;woman;men;;;;;;;;;;
ignorant;woman;men;;;;;;;;;;
innocent;woman;men;;;;;;;;;;
simple;woman;men;;;;;;;;;;
callow;woman;men;;;;;;;;;;
harmless;woman;men;;;;;;;;;;
natural;woman;men;;;;;;;;;;
open;woman;men;;;;;;;;;;
plain;woman;men;;;;;;;;;;
impulsive;woman;men;;;;;;;;;;
candid;woman;men;;;;;;;;;;
unsophisticated;woman;men;;;;;;;;;;
artless;woman;men;;;;;;;;;;
heartbraker;woman;men;;;;;;;;;;
casanova;woman;men;;;;;;;;;;
charmer;woman;men;;;;;;;;;;
libertine;woman;men;;;;;;;;;;
lover;woman;men;;;;;;;;;;
playboy;woman;men;;;;;;;;;;
romeo;woman;men;;;;;;;;;;
seducer;woman;men;;;;;;;;;;
wolf;woman;men;;;;;;;;;;
sexual;woman;men;;;;;;;;;;
carnal;woman;men;;;;;;;;;;
erotic;woman;men;;;;;;;;;;
intimate;woman;men;;;;;;;;;;
passionate;woman;men;;;;;;;;;;
reproductive;woman;men;;;;;;;;;;
sensual;woman;men;;;;;;;;;;
animal;woman;men;;;;;;;;;;
