Pos1;Pos2;Neg;Resoult;Word;Distance
king;women;man;[('queen', 0.4827325940132141)];queen;0.4827325940132141
good;women;man;[('great', 0.4587334990501404)];great;0.4587334990501404
kind;women;man;[('sort', 0.4731917381286621)];sort;0.4731917381286621
bad;women;man;[('good', 0.44500261545181274)];good;0.4450026154518128
worst;women;man;[('weakest', 0.45851680636405945)];weakest;0.4585168063640594
flirt;women;man;[('flirting', 0.4955287575721741)];flirting;0.4955287575721741
womanizer;women;man;[('womanizers', 0.514055073261261)];womanizers;0.514055073261261
boss;women;man;[('bosses', 0.47297635674476624)];bosses;0.4729763567447662
father;women;man;[('husbands', 0.5749578475952148)];husbands;0.5749578475952148
grandfather;women;man;[('grandfathers', 0.5507668256759644)];grandfathers;0.5507668256759644
uncle;women;man;[('husbands', 0.5379266142845154)];husbands;0.5379266142845154
brother;women;man;[('sisters', 0.5506161451339722)];sisters;0.5506161451339722
nephew;women;man;[('husbands', 0.503234326839447)];husbands;0.503234326839447
husband;women;man;[('husbands', 0.6454172134399414)];husbands;0.6454172134399414
cousin;women;man;[('sisters', 0.5385843515396118)];sisters;0.5385843515396118
grandson;women;man;[('granddaughters', 0.5622831583023071)];granddaughters;0.5622831583023071
son;women;man;[('daughters', 0.6034135222434998)];daughters;0.6034135222434998
brave;women;man;[('courageous', 0.46848779916763306)];courageous;0.468487799167633
bright;women;man;[('brighter', 0.44488948583602905)];brighter;0.44488948583602905
busy;women;man;[('hectic_schedules', 0.471490740776062)];hectic_schedules;0.471490740776062
calm;women;man;[('calmer', 0.4130292534828186)];calmer;0.4130292534828186
cheap;women;man;[('inexpensive', 0.48235630989074707)];inexpensive;0.4823563098907471
clever;women;man;[('overtly_sexist', 0.4206891655921936)];overtly_sexist;0.4206891655921936
smart;women;man;[('womens', 0.40441370010375977)];womens;0.40441370010375977
intelligent;women;man;[('womens', 0.4054664373397827)];womens;0.4054664373397827
close;women;man;[('womens', 0.39689284563064575)];womens;0.39689284563064575
far;women;man;[('male_counterparts', 0.40157291293144226)];male_counterparts;0.4015729129314423
clumsy;women;man;[('overtly_sexist', 0.4317474365234375)];overtly_sexist;0.4317474365234375
cool;women;man;[('strappy_tops', 0.4157301187515259)];strappy_tops;0.4157301187515259
crazy;women;man;[('sensual_beings', 0.45237401127815247)];sensual_beings;0.4523740112781525
creepy;women;man;[('hyper_sexualized', 0.48247504234313965)];hyper_sexualized;0.4824750423431397
cruel;women;man;[('inhumane', 0.44950979948043823)];inhumane;0.44950979948043823
crunchy;women;man;[('crispy', 0.5150244832038879)];crispy;0.5150244832038879
curvy;women;man;[('Curvy', 0.571744441986084)];Curvy;0.571744441986084
dark;women;man;[('chadors', 0.44478824734687805)];chadors;0.4447882473468781
bright;women;man;[('brighter', 0.44488948583602905)];brighter;0.44488948583602905
dull;women;man;[('boring', 0.4731675088405609)];boring;0.4731675088405609
dumb;women;man;[('stupid', 0.47329121828079224)];stupid;0.4732912182807922
easy;women;man;[('easier', 0.44283536076545715)];easier;0.4428353607654572
fancy;women;man;[('lacy_bras', 0.4504125118255615)];lacy_bras;0.4504125118255615
slow;women;man;[('slower', 0.47504723072052)];slower;0.47504723072052
fat;women;man;[('waist_circumferences', 0.4746384024620056)];waist_circumferences;0.4746384024620056
firm;women;man;[('firms', 0.49662846326828003)];firms;0.49662846326828
fit;women;man;[('womens', 0.4302818179130554)];womens;0.4302818179130554
fresh;women;man;[('Women', 0.4065502882003784)];Women;0.4065502882003784
friendly;women;man;[('mothers_grandmothers_aunts', 0.40486252307891846)];mothers_grandmothers_aunts;0.4048625230789185
