Pos1;Pos2;Neg;R1;R2;R3;R4;R5
king;women;man;queen;queens;kumaris;kings;womens
good;women;man;great;womens;better;bad;decent
kind;women;man;sort;really;kinds;sexual_objectification;Dr._Sharonne_Hayes
bad;women;man;good;lousy;terrible;horrible;womens
worst;women;man;weakest;strongest;delaying_childbirth;undergone_FGM;womens
flirt;women;man;flirting;fake_orgasms;dress_provocatively;sexual_objectification;flirts
womanizer;women;man;womanizers;bisexual;sexual_objectification;husbands;crossdressers
boss;women;man;bosses;male_counterparts;Women;womens;husbands
father;women;man;husbands;mothers;daughters;fathers;sisters
grandfather;women;man;grandfathers;husbands;paternal_grandfathers;mothers;fathers_stepfathers
uncle;women;man;husbands;uncles;sisters;fathers_stepfathers;aunts_grandmothers
brother;women;man;sisters;sister;husbands;siblings;sons
nephew;women;man;husbands;daughters;sisters;sons;granddaughters
husband;women;man;husbands;mothers;daughters;wives;Women
cousin;women;man;sisters;sister;husbands;cousins;daughters
grandson;women;man;granddaughters;grandsons;daughters;mothers;granddaughter
son;women;man;daughters;children;mothers;sons;daughter
brave;women;man;courageous;womens;Women;bravely;terminate_unwanted_pregnancies
bright;women;man;brighter;womens;multicolored_tiered;Women;brightly_colored_T_shirts
busy;women;man;hectic_schedules;hectic;Women;busier;moms
calm;women;man;calmer;BETHLEHEM_Pa._Cristie_Kerr;calming;calmed;Calm
cheap;women;man;inexpensive;relatively_inexpensive;Cheap;cheep;cheaper
clever;women;man;overtly_sexist;ingenious;sexual_objectification;sexually_objectifying;cleverly
smart;women;man;womens;Differentiate_yourself;mompreneurs;Contraceptive_pills;Women
intelligent;women;man;womens;Women's;grossly_underrepresented;supermoms;Marianne_Mollmann
close;women;man;womens;Women;closed;closing;Postpartum_depression_affects
far;women;man;male_counterparts;Women;womens;undergone_FGM;Marianne_Mollmann
clumsy;women;man;overtly_sexist;unfeminine;inelegant;unladylike;sexual_objectification
cool;women;man;strappy_tops;girly;backless_strapless;tiered_skirts;womens
crazy;women;man;sensual_beings;ridiculous;insane;sexual_objectification;girly
creepy;women;man;hyper_sexualized;objectification;sexual_objectification;sexualized;sexually_objectifying
cruel;women;man;inhumane;backstreet_abortions;sexual_objectification;sexually_objectifying;misogynous
crunchy;women;man;crispy;crispy_crunchy;chewy;creamy;meltingly_soft
curvy;women;man;Curvy;curvaceous;curvier;shapely;curvacious
dark;women;man;chadors;strappy_tops;darker;Women;enveloping_burqas
bright;women;man;brighter;womens;multicolored_tiered;Women;brightly_colored_T_shirts
dull;women;man;boring;uninteresting;monotonous;humdrum;duller
dumb;women;man;stupid;objectify;sexists;overtly_sexist;airheads
easy;women;man;easier;difficult;convenient;Women;inexpensive
fancy;women;man;lacy_bras;lingerie_swimwear;frou_frou;proms_weddings;skimpy_skirts
slow;women;man;slower;Slow;slowed;Women;sluggish
fat;women;man;waist_circumferences;sagging_breasts;belly_fat;unhealthy_fats;abdominal_fat
firm;women;man;firms;consultancy;PMB_Helin_Donovan;consulting_firm;LEX_Nexus
fit;women;man;womens;fits;Dr._Vanessa_Cullins;uncomplicated_pregnancies;Wholesale_Sportswear
fresh;women;man;Women;womens;expectant_mums;complimentary_makeovers;fresher
friendly;women;man;mothers_grandmothers_aunts;womens;Women's;aunts_grandmothers;workingwomen
hairy;women;man;vulvas;womens;bosoms;transwomen;washboard_stomachs
happy;women;man;thrilled;satisfied;overjoyed;pleased;excited
hard;women;man;harder;difficult;Women;male_counterparts;womens
healthy;women;man;uncomplicated_pregnancies;healthier;healthful;eating_nutritious_foods;eat_nutritious_foods
heavy;women;man;Heavy;heavier;Women;delaying_childbirth;Incorrect_takeoff
high;women;man;low;higher;ahigh;GSRs;delaying_childbirth
hot;women;man;Hot;womens;Women;î_¿_Violence_Intervention;flesh_baring_gowns
sexy;women;man;feminine;skimpy_bikinis;sexy_lingerie;girly;bikinis
sensual;women;man;sensuous;feminine;femininity;sensuality;seductive
horny;women;man;butches;slutty;nubile;fag_hags;faking_orgasms
hungry;women;man;poorly_nourished;mothers;grossly_underrepresented;Women;empty_stomachs
icy;women;man;Women's;womens;Women;frigid;snowy
kind;women;man;sort;really;kinds;sexual_objectification;Dr._Sharonne_Hayes
large;women;man;sizable;small;sizeable;larger;smaller
lazy;women;man;sexual_objectification;supermoms;sexists;objectification;lazy_bums
light;women;man;melatonin_suppression;SAD_sufferers;metal_halide_lamps;tunnel_Wethington;Darker_colors
little;women;man;bit;litte;much;abnormal_mammograms;womens
lonely;women;man;mothers;supermoms;Women;loveless_marriages;widows_divorcees
long;women;man;Women;womens;gestation_periods;irregular_menstrual_cycles;longer
lovely;women;man;gorgeous;beautiful;fabulous;tiered_skirts;ladies
low;women;man;high;delaying_childbirth;uncomplicated_pregnancies;Low;higher
mad;women;man;womens;Women;overtly_sexist;feminists;sexists
mean;women;man;imply;entail;Unplanned_pregnancies;delaying_childbirth;means
messy;women;man;messier;Women;sexes;overtly_sexist;breakups
nasty;women;man;overtly_sexist;ugly;catty;womens;sexual_objectification
new;women;man;thenew;womens;women's;Women;Merck_HPV_vaccine
nice;women;man;fabulous;good;womens;Yaroshuk_Tews;great
noisy;women;man;mothers_grandmothers_aunts;noisier;earsplitting;Noisy;skimpily_dressed
old;women;man;undergone_FGM;olds;Postpartum_depression_affects;Women;womens
plain;women;man;wraparound_skirts;underthings;sexual_objectification;overtly_sexist;bandeau_tops
polite;women;man;aunts_grandmothers;wearing_hijabs;respectful;mothers_grandmothers_aunts;everybody_Pendergrast
poor;women;man;poorer;womens;gender_inequality;delaying_childbirth;undergone_FGM
pretty;women;man;pretty_darn;very;quite;fairly;really
handsome;women;man;shapely;fashionably_dressed;curvaceous;handsome_hunks;curvacious
proud;women;man;immensely_proud;thrilled;excited;pleased;justifiably_proud
pure;women;man;pure_unadulterated;sexual_objectification;objectification;mammograms_Mikulski;purity
quick;women;man;womens;Women;easy;swift;delaying_childbirth
rare;women;man;exceedingly_rare;rarer;uncommon;unheard;rarity
rich;women;man;economically_advantaged;grossly_underrepresented;socioeconomic_strata;workingwomen;unequally_distributed
risky;women;man;riskier;Women;suppressing_menstruation;abnormal_mammograms;prophylactic_mastectomies
roomy;women;man;spacious;roomier;rear_legroom;comfy;upholstered_sofas
rude;women;man;sexist;demeaning;overtly_sexist;sexually_objectifying;impolite
sad;women;man;saddening;disheartening;distressing;heartbreaking;depressing
safe;women;man;safer;Albain_stressed;uncomplicated_pregnancies;unsafe;safeness
salty;women;man;fatty_sugary;smoking_hookahs;trickled_saline;Women;fatty_salty
sane;women;man;terminate_unwanted_pregnancies;supermoms;Unplanned_pregnancies;undergone_hysterectomies;dress_scantily
scary;women;man;frightening;abnormal_mammograms;horrifying;terrifying;worrisome
shallow;women;man;shallower;Kurt_Suzuki_blooped;womens;Ryan_Klesko_chopped;Women
shiny;women;man;bandeau_tops;strapless_bras;sparkly;skimpy_skirts;seamed_stockings
short;women;man;Women;women's;womens;Short;shorter
shy;women;man;Women;women's;Postpartum_depression_affects;male_counterparts;gender_parity
silly;women;man;ridiculous;girly;overtly_sexist;sexual_objectification;sexually_objectifying
simple;women;man;straightforward;Simple;mammograms_Mikulski;practical;delaying_childbirth
sincere;women;man;sincerely;sisterly;gender_equality;LBGTQ;Ambassador_Verveer
sleepy;women;man;sleepier;Women;skimpily_dressed;mothers;workingwomen
slim;women;man;Women;slimmer;womens;slender;grossly_underrepresented
slimy;women;man;icky;hyper_sexualized;vulvas;overtly_sexist;sexual_objectification
slow;women;man;slower;Slow;slowed;Women;sluggish
small;women;man;large;smaller;tiny;medium_sized;Small
smart;women;man;womens;Differentiate_yourself;mompreneurs;Contraceptive_pills;Women
smelly;women;man;stinky;unhygenic;underarm_sweat;smoking_hookahs;skimpy_skirts
smooth;women;man;smoother;smoothly;smoothen;smoothing;smooth_transitions
soft;women;man;softer;womens;Women;tiered_skirts;bandeau_tops
stingy;women;man;male_counterparts;Women;stingier;stingiest;womens
strange;women;man;peculiar;weird;disconcerting;surprising;odd
strict;women;man;stringent;widely_flouted;strictly_enforced;wear_hijabs;stricter
strong;women;man;womens;stronger;strongest;robust;solid
sunny;women;man;sunny_afternoons;sunshine;sunny_skies;Women;breezy
tasty;women;man;delicious;yummy;scrumptious;scrumptious_dishes;scrumptious_desserts
thin;women;man;Thin;wafer_thin;thinner;bandeau_tops;ultra_thin
tiny;women;man;small;minuscule;teeny_tiny;tiniest;teeny
ugly;women;man;womens;overtly_sexist;sexual_objectification;uglier;Women
warm;women;man;Warm;Women;toasty;womens;chilly
weak;women;man;weaker;weakening;Weak;womens;weakness
weird;women;man;sexual_objectification;girly;sensual_beings;kinkier;icky
wet;women;man;open_toed_shoes;wetness;dry;wet_weather;womens
wide;women;man;wider;womens;widest;gender_equality;women's
narrow;women;man;Narrow;narrowing;womens;narrowest;narrower
wild;women;man;females;type_KRAS_mCRC;sexual_objectification;undergone_FGM;type_KRAS_tumors
windy;women;man;windy_conditions;gusty;windier;sunny_breezy;hot_muggy
wise;women;man;Women;womens;Neena_Chaudhry;Neena_Chaudhry_senior;grossly_underrepresented
worldly;women;man;stereotypically_feminine;patriarchal_societies;feminine;sexual_objectification;monogamous_marriages
young;women;man;undergone_FGM;mothers;delaying_childbirth;younger;wore_hoop_skirts
accountant;women;man;accountants;bra_fitters;CPAs;CPA;Women
hostess;women;man;hostesses;hostessing;Women;mostess;Hostesses
archaeologist;women;man;archeologist;archaeologists;Archaeologist;archeology;archaeological
architect;women;man;architects;Architects;architectural;Cesar_Pelli;Stefanos_Polyzoides
astronaut;women;man;astronauts;NASA_astronaut_corps;Rhea_Seddon;spaceflight;Astronaut
