Pos1;Pos2;Neg;R1;R2;R3;R4;R5
king;women;man;('queen', 0.4827325940132141);('queens', 0.4667814075946808);('kumaris', 0.4653734266757965);('kings', 0.45586392283439636);('womens', 0.4228322207927704)
good;women;man;('great', 0.4587334990501404);('womens', 0.4450950622558594);('better', 0.43280690908432007);('bad', 0.4140065908432007);('decent', 0.4069218039512634)
kind;women;man;('sort', 0.4731917381286621);('really', 0.4281558692455292);('kinds', 0.4279063940048218);('sexual_objectification', 0.41239869594573975);('Dr._Sharonne_Hayes', 0.41079360246658325)
bad;women;man;('good', 0.44500261545181274);('lousy', 0.4226847290992737);('terrible', 0.41405582427978516);('horrible', 0.413360595703125);('womens', 0.41043928265571594)
worst;women;man;('weakest', 0.45851680636405945);('strongest', 0.414541631937027);('delaying_childbirth', 0.4132198989391327);('undergone_FGM', 0.41150882840156555);('womens', 0.4003898799419403)
flirt;women;man;('flirting', 0.4955287575721741);('fake_orgasms', 0.4680362939834595);('dress_provocatively', 0.4542282223701477);('sexual_objectification', 0.45141535997390747);('flirts', 0.44497209787368774)
womanizer;women;man;('womanizers', 0.514055073261261);('bisexual', 0.477363258600235);('sexual_objectification', 0.46532556414604187);('husbands', 0.46332621574401855);('crossdressers', 0.4576093852519989)
boss;women;man;('bosses', 0.47297635674476624);('male_counterparts', 0.4573151767253876);('Women', 0.43721920251846313);('womens', 0.4264146089553833);('husbands', 0.3989241123199463)
father;women;man;('husbands', 0.5749578475952148);('mothers', 0.5560927391052246);('daughters', 0.5399802923202515);('fathers', 0.5254301428794861);('sisters', 0.5145382881164551)
grandfather;women;man;('grandfathers', 0.5507668256759644);('husbands', 0.4957427382469177);('paternal_grandfathers', 0.47369784116744995);('mothers', 0.47300106287002563);('fathers_stepfathers', 0.46791523694992065)
uncle;women;man;('husbands', 0.5379266142845154);('uncles', 0.5352242588996887);('sisters', 0.517324686050415);('fathers_stepfathers', 0.5064471364021301);('aunts_grandmothers', 0.4771561622619629)
brother;women;man;('sisters', 0.5506161451339722);('sister', 0.5284751653671265);('husbands', 0.5109370946884155);('siblings', 0.4981803894042969);('sons', 0.4852920174598694)
nephew;women;man;('husbands', 0.503234326839447);('daughters', 0.5019446015357971);('sisters', 0.4881014823913574);('sons', 0.4803112745285034);('granddaughters', 0.4782947301864624)
husband;women;man;('husbands', 0.6454172134399414);('mothers', 0.5172282457351685);('daughters', 0.5136521458625793);('wives', 0.5115781426429749);('Women', 0.5096524357795715)
cousin;women;man;('sisters', 0.5385843515396118);('sister', 0.5380319356918335);('husbands', 0.5179601907730103);('cousins', 0.49940386414527893);('daughters', 0.47783800959587097)
grandson;women;man;('granddaughters', 0.5622831583023071);('grandsons', 0.5309560894966125);('daughters', 0.5251002311706543);('mothers', 0.5095697045326233);('granddaughter', 0.5044172406196594)
son;women;man;('daughters', 0.6034135222434998);('children', 0.5632321834564209);('mothers', 0.5620926022529602);('sons', 0.5584380030632019);('daughter', 0.5463302135467529)
brave;women;man;('courageous', 0.46848779916763306);('womens', 0.4388729929924011);('Women', 0.43884673714637756);('bravely', 0.4175553321838379);('terminate_unwanted_pregnancies', 0.4149184226989746)
bright;women;man;('brighter', 0.44488948583602905);('womens', 0.4130037724971771);('multicolored_tiered', 0.4091204106807709);('Women', 0.40781643986701965);('brightly_colored_T_shirts', 0.4042710065841675)
busy;women;man;('hectic_schedules', 0.471490740776062);('hectic', 0.4330892264842987);('Women', 0.4169039726257324);('busier', 0.3987370729446411);('moms', 0.3918772339820862)
calm;women;man;('calmer', 0.4130292534828186);('BETHLEHEM_Pa._Cristie_Kerr', 0.4080445170402527);('calming', 0.4059925079345703);('calmed', 0.4010426700115204);('Calm', 0.39788439869880676)
cheap;women;man;('inexpensive', 0.48235630989074707);('relatively_inexpensive', 0.46816039085388184);('Cheap', 0.4586712718009949);('cheep', 0.4169148802757263);('cheaper', 0.41539818048477173)
clever;women;man;('overtly_sexist', 0.4206891655921936);('ingenious', 0.41608813405036926);('sexual_objectification', 0.4047320485115051);('sexually_objectifying', 0.39633116126060486);('cleverly', 0.3892650902271271)
smart;women;man;('womens', 0.40441370010375977);('Differentiate_yourself', 0.384570837020874);('mompreneurs', 0.3764078617095947);('Contraceptive_pills', 0.37554389238357544);('Women', 0.37368297576904297)
intelligent;women;man;('womens', 0.4054664373397827);"(""Women's"", 0.3954845368862152)";('grossly_underrepresented', 0.3933376669883728);('supermoms', 0.3907780051231384);('Marianne_Mollmann', 0.3890230059623718)
close;women;man;('womens', 0.39689284563064575);('Women', 0.3801047205924988);('closed', 0.3744552731513977);('closing', 0.36554616689682007);('Postpartum_depression_affects', 0.3537447154521942)
far;women;man;('male_counterparts', 0.40157291293144226);('Women', 0.3997982144355774);('womens', 0.38966646790504456);('undergone_FGM', 0.36812353134155273);('Marianne_Mollmann', 0.3665638864040375)
clumsy;women;man;('overtly_sexist', 0.4317474365234375);('unfeminine', 0.42568641901016235);('inelegant', 0.4197899103164673);('unladylike', 0.4169991910457611);('sexual_objectification', 0.4125578701496124)
cool;women;man;('strappy_tops', 0.4157301187515259);('girly', 0.40916329622268677);('backless_strapless', 0.4050419330596924);('tiered_skirts', 0.40328532457351685);('womens', 0.3997727334499359)
crazy;women;man;('sensual_beings', 0.45237401127815247);('ridiculous', 0.4368245303630829);('insane', 0.41410335898399353);('sexual_objectification', 0.4126938283443451);('girly', 0.4117703139781952)
creepy;women;man;('hyper_sexualized', 0.48247504234313965);('objectification', 0.4755149483680725);('sexual_objectification', 0.47156962752342224);('sexualized', 0.4712130129337311);('sexually_objectifying', 0.4708135426044464)
cruel;women;man;('inhumane', 0.44950979948043823);('backstreet_abortions', 0.43392401933670044);('sexual_objectification', 0.4301057457923889);('sexually_objectifying', 0.42835551500320435);('misogynous', 0.4268112778663635)
crunchy;women;man;('crispy', 0.5150244832038879);('crispy_crunchy', 0.5033828616142273);('chewy', 0.4916396737098694);('creamy', 0.47258827090263367);('meltingly_soft', 0.47000476717948914)
curvy;women;man;('Curvy', 0.571744441986084);('curvaceous', 0.5704377889633179);('curvier', 0.5634348392486572);('shapely', 0.533984363079071);('curvacious', 0.5055049061775208)
dark;women;man;('chadors', 0.44478824734687805);('strappy_tops', 0.42110544443130493);('darker', 0.4178452491760254);('Women', 0.4153168499469757);('enveloping_burqas', 0.4015069603919983)
bright;women;man;('brighter', 0.44488948583602905);('womens', 0.4130037724971771);('multicolored_tiered', 0.4091204106807709);('Women', 0.40781643986701965);('brightly_colored_T_shirts', 0.4042710065841675)
dull;women;man;('boring', 0.4731675088405609);('uninteresting', 0.453330934047699);('monotonous', 0.4408276081085205);('humdrum', 0.42900925874710083);('duller', 0.4260528087615967)
dumb;women;man;('stupid', 0.47329121828079224);('objectify', 0.4631608724594116);('sexists', 0.4556506276130676);('overtly_sexist', 0.45359957218170166);('airheads', 0.4519966244697571)
easy;women;man;('easier', 0.44283536076545715);('difficult', 0.4033220112323761);('convenient', 0.38742122054100037);('Women', 0.3873867392539978);('inexpensive', 0.3749687671661377)
fancy;women;man;('lacy_bras', 0.4504125118255615);('lingerie_swimwear', 0.44925937056541443);('frou_frou', 0.44311654567718506);('proms_weddings', 0.4407309889793396);('skimpy_skirts', 0.44019457697868347)
slow;women;man;('slower', 0.47504723072052);('Slow', 0.4479480981826782);('slowed', 0.4146755039691925);('Women', 0.41419798135757446);('sluggish', 0.41218143701553345)
fat;women;man;('waist_circumferences', 0.4746384024620056);('sagging_breasts', 0.46750158071517944);('belly_fat', 0.4627462923526764);('unhealthy_fats', 0.4614415764808655);('abdominal_fat', 0.4576264023780823)
firm;women;man;('firms', 0.49662846326828003);('consultancy', 0.4422745704650879);('PMB_Helin_Donovan', 0.44170844554901123);('consulting_firm', 0.4335082471370697);('LEX_Nexus', 0.43340909481048584)
fit;women;man;('womens', 0.4302818179130554);('fits', 0.42372655868530273);('Dr._Vanessa_Cullins', 0.40047624707221985);('uncomplicated_pregnancies', 0.40005576610565186);('Wholesale_Sportswear', 0.3998430371284485)
fresh;women;man;('Women', 0.4065502882003784);('womens', 0.40288621187210083);('expectant_mums', 0.36755967140197754);('complimentary_makeovers', 0.36222177743911743);('fresher', 0.35467255115509033)
friendly;women;man;('mothers_grandmothers_aunts', 0.40486252307891846);('womens', 0.40224942564964294);"(""Women's"", 0.37753593921661377)";('aunts_grandmothers', 0.3756314516067505);('workingwomen', 0.3752111792564392)
hairy;women;man;('vulvas', 0.46299663186073303);('womens', 0.4511651396751404);('bosoms', 0.44561269879341125);('transwomen', 0.44406792521476746);('washboard_stomachs', 0.44311484694480896)
happy;women;man;('thrilled', 0.4444049596786499);('satisfied', 0.43281519412994385);('overjoyed', 0.4291524291038513);('pleased', 0.42835819721221924);('excited', 0.4261144995689392)
hard;women;man;('harder', 0.4848807454109192);('difficult', 0.42137423157691956);('Women', 0.41582345962524414);('male_counterparts', 0.40501829981803894);('womens', 0.38423866033554077)
healthy;women;man;('uncomplicated_pregnancies', 0.5398788452148438);('healthier', 0.4955560863018036);('healthful', 0.4870486557483673);('eating_nutritious_foods', 0.47838345170021057);('eat_nutritious_foods', 0.47470101714134216)
heavy;women;man;('Heavy', 0.4564833343029022);('heavier', 0.42749518156051636);('Women', 0.39817285537719727);('delaying_childbirth', 0.38132256269454956);('Incorrect_takeoff', 0.36531054973602295)
high;women;man;('low', 0.479550302028656);('higher', 0.44869428873062134);('ahigh', 0.4261055886745453);('GSRs', 0.4216945469379425);('delaying_childbirth', 0.4185066819190979)
hot;women;man;('Hot', 0.4509659707546234);('womens', 0.42347073554992676);('Women', 0.4138266444206238);('?_?_Violence_Intervention', 0.3991802930831909);('flesh_baring_gowns', 0.39529284834861755)
sexy;women;man;('feminine', 0.5435336828231812);('skimpy_bikinis', 0.5406421422958374);('sexy_lingerie', 0.5364232063293457);('girly', 0.5276684165000916);('bikinis', 0.5181601047515869)
sensual;women;man;('sensuous', 0.5956243872642517);('feminine', 0.5761041641235352);('femininity', 0.5476539134979248);('sensuality', 0.531465470790863);('seductive', 0.5075793862342834)
horny;women;man;('butches', 0.500370979309082);('slutty', 0.49955636262893677);('nubile', 0.49953699111938477);('fag_hags', 0.4963168501853943);('faking_orgasms', 0.4940783381462097)
hungry;women;man;('poorly_nourished', 0.43537527322769165);('mothers', 0.41979044675827026);('grossly_underrepresented', 0.4174644351005554);('Women', 0.4122360050678253);('empty_stomachs', 0.41014206409454346)
icy;women;man;"(""Women's"", 0.4255205988883972)";('womens', 0.4187612533569336);('Women', 0.41757866740226746);('frigid', 0.4115733802318573);('snowy', 0.411551833152771)
kind;women;man;('sort', 0.4731917381286621);('really', 0.4281558692455292);('kinds', 0.4279063940048218);('sexual_objectification', 0.41239869594573975);('Dr._Sharonne_Hayes', 0.41079360246658325)
large;women;man;('sizable', 0.5170886516571045);('small', 0.5121437907218933);('sizeable', 0.5096890330314636);('larger', 0.5079944133758545);('smaller', 0.47045576572418213)
lazy;women;man;('sexual_objectification', 0.4536805748939514);('supermoms', 0.435062438249588);('sexists', 0.4314819574356079);('objectification', 0.4287574887275696);('lazy_bums', 0.4263190031051636)
light;women;man;('melatonin_suppression', 0.40134596824645996);('SAD_sufferers', 0.394592821598053);('metal_halide_lamps', 0.3643897771835327);('tunnel_Wethington', 0.36318886280059814);('Darker_colors', 0.361946702003479)
little;women;man;('bit', 0.44797730445861816);('litte', 0.40440934896469116);('much', 0.4000624418258667);('abnormal_mammograms', 0.39342212677001953);('womens', 0.3919069766998291)
lonely;women;man;('mothers', 0.4664490222930908);('supermoms', 0.4538936913013458);('Women', 0.4420352578163147);('loveless_marriages', 0.44021493196487427);('widows_divorcees', 0.4351326823234558)
long;women;man;('Women', 0.40358656644821167);('womens', 0.3984280526638031);('gestation_periods', 0.36934342980384827);('irregular_menstrual_cycles', 0.36906206607818604);('longer', 0.3683251738548279)
lovely;women;man;('gorgeous', 0.5368950366973877);('beautiful', 0.5315241813659668);('fabulous', 0.522980809211731);('tiered_skirts', 0.4807661175727844);('ladies', 0.47506293654441833)
low;women;man;('high', 0.4921168088912964);('delaying_childbirth', 0.44293469190597534);('uncomplicated_pregnancies', 0.412433385848999);('Low', 0.41144317388534546);('higher', 0.4110393524169922)
mad;women;man;('womens', 0.45221656560897827);('Women', 0.4366333782672882);('overtly_sexist', 0.4261597990989685);('feminists', 0.4252585172653198);('sexists', 0.423805832862854)
mean;women;man;('imply', 0.44539809226989746);('entail', 0.4333578050136566);('Unplanned_pregnancies', 0.42469727993011475);('delaying_childbirth', 0.4193046987056732);('means', 0.41871315240859985)
messy;women;man;('messier', 0.4622083008289337);('Women', 0.4021766185760498);('sexes', 0.3984231948852539);('overtly_sexist', 0.3929860591888428);('breakups', 0.3881615400314331)
nasty;women;man;('overtly_sexist', 0.4711242914199829);('ugly', 0.42042678594589233);('catty', 0.41808250546455383);('womens', 0.41599008440971375);('sexual_objectification', 0.4034324288368225)
new;women;man;('thenew', 0.4246845245361328);('womens', 0.4078095853328705);"(""women's"", 0.3937608599662781)";('Women', 0.38694900274276733);('Merck_HPV_vaccine', 0.37890538573265076)
nice;women;man;('fabulous', 0.44190940260887146);('good', 0.4232962727546692);('womens', 0.4161973297595978);('Yaroshuk_Tews', 0.413224995136261);('great', 0.4121450185775757)
noisy;women;man;('mothers_grandmothers_aunts', 0.4245501756668091);('noisier', 0.4212419390678406);('earsplitting', 0.41902419924736023);('Noisy', 0.41775017976760864);('skimpily_dressed', 0.41686466336250305)
old;women;man;('undergone_FGM', 0.46769237518310547);('olds', 0.4644160270690918);('Postpartum_depression_affects', 0.445370614528656);('Women', 0.439066082239151);('womens', 0.4335048496723175)
plain;women;man;('wraparound_skirts', 0.40983468294143677);('underthings', 0.4049665331840515);('sexual_objectification', 0.4037153720855713);('overtly_sexist', 0.40247756242752075);('bandeau_tops', 0.3997589945793152)
polite;women;man;('aunts_grandmothers', 0.4481329917907715);('wearing_hijabs', 0.44682776927948);('respectful', 0.4337299168109894);('mothers_grandmothers_aunts', 0.43087679147720337);('everybody_Pendergrast', 0.4268498420715332)
poor;women;man;('poorer', 0.4909910559654236);('womens', 0.4514445662498474);('gender_inequality', 0.451348215341568);('delaying_childbirth', 0.44536662101745605);('undergone_FGM', 0.44359976053237915)
pretty;women;man;('pretty_darn', 0.5007816553115845);('very', 0.4768965244293213);('quite', 0.44964122772216797);('fairly', 0.44865208864212036);('really', 0.4433049261569977)
handsome;women;man;('shapely', 0.4567106366157532);('fashionably_dressed', 0.4299376904964447);('curvaceous', 0.409755140542984);('handsome_hunks', 0.4096671938896179);('curvacious', 0.4082864224910736)
proud;women;man;('immensely_proud', 0.5047781467437744);('thrilled', 0.48693010210990906);('excited', 0.4571108818054199);('pleased', 0.45325565338134766);('justifiably_proud', 0.44344058632850647)
