;TREAT;PER0;BRANCH;SEC;LEAVES
1;C;16;24;36;571
2;C;17;20;62;571
3;B;17,5;26;51;801
4;C;16;18;44;465
5;B;18;18;44;530
6;A;18;19;19;534
7;C;18;20;32;398
8;B;15;21;29;507
9;C;14;24;39;926
10;A;14;16;26;442
11;A;16,5;26;32;528
12;A;17;25;24;812
13;A;17;20;31;450
14;B;16;20;49;627
15;C;15,5;22;78;701
16;B;15,5;15;56;498
17;B;19;14;35;437
18;C;15;21;44;743
19;B;18;20;31;599
20;B;18;19;15;361
21;B;16;22;33;519
22;B;19,5;23;50;498
23;C;18;13;68;491
24;A;19;23;31;588
25;A;16,5;16;25;459
26;C;16;15;17;326
27;A;18;16;36;554
28;A;18;13;26;219
29;A;16;19;50;599
30;C;16;16;37;361
